"","Sp","Limb_width","Limb_length","limb_volume","Observer"
"37","""A. carolinensis""",4.27726107093077,24.4684897021667,351.583563147355,"""Matthew Meow"""
"38","""D. novemcinctus""",3.26532615142824,43.5737349645854,364.894907129991,"""Matthew Meow"""
"39","""O. garnettii""",4.46709977342031,37.9207466856954,594.316882045346,"""Matthew Meow"""
"40","""P. troglodytes""",1.78515805703042,46.6571153193783,116.778021818976,"""Matthew Meow"""
"41","""V. pacos""",4.38935600482229,42.4184468340502,641.86878621993,"""Matthew Meow"""
"42","""A. carolinensis""",3.69820481723188,35.2857107977513,379.027456939616,"""Matthew Meow"""
"43","""D. novemcinctus""",3.80078533086703,36.0405293482665,408.909993877303,"""Matthew Meow"""
"44","""O. garnettii""",5.2969046599788,33.1458772611557,730.404955945473,"""Matthew Meow"""
"45","""P. troglodytes""",6.24562595570101,25.0846590849252,768.510891647611,"""Matthew Meow"""
"46","""V. pacos""",2.73643319117235,52.8366288260739,310.738224963439,"""Matthew Meow"""
"47","""A. carolinensis""",4.97190179506682,48.6184962117824,943.922822935658,"""Matthew Meow"""
"48","""D. novemcinctus""",4.22621279480303,47.3039880192037,663.575523527778,"""Matthew Meow"""
"49","""O. garnettii""",5.09117397983254,50.7329877203043,1032.79992384047,"""Matthew Meow"""
"50","""P. troglodytes""",4.68202481872873,26.3409536583125,453.512016282792,"""Matthew Meow"""
"51","""V. pacos""",5.01673476681711,38.4368424340472,759.766019784084,"""Matthew Meow"""
"52","""A. carolinensis""",4.93069251315058,18.8929041029437,360.748423213115,"""Matthew Meow"""
"53","""D. novemcinctus""",4.31428186872148,34.5659978158608,505.307810563702,"""Matthew Meow"""
"54","""O. garnettii""",3.93696829406266,48.2286073519048,587.108593675378,"""Matthew Meow"""
"55","""P. troglodytes""",5.08765496288221,33.1814591657891,674.560120746181,"""Matthew Meow"""
"56","""V. pacos""",2.92511895714103,34.6974494934023,233.17098025312,"""Matthew Meow"""
"57","""A. carolinensis""",2.76084399179713,37.1776863305191,222.564540774366,"""Matthew Meow"""
"58","""D. novemcinctus""",3.60764958623526,34.6209910199342,353.897970272063,"""Matthew Meow"""
"59","""O. garnettii""",4.03848978039471,37.4809714419195,480.107727690628,"""Matthew Meow"""
"60","""P. troglodytes""",5.83927438278149,58.3020151133576,1561.31744713527,"""Matthew Meow"""
"61","""V. pacos""",4.23816135038818,33.1574917691782,467.763709748184,"""Matthew Meow"""
"62","""A. carolinensis""",4.08969024652902,27.4157794173544,360.139958385214,"""Matthew Meow"""
"63","""D. novemcinctus""",5.50376334936047,21.0784817076092,501.474334050368,"""Matthew Meow"""
"64","""O. garnettii""",5.2264241903914,32.9145906029201,706.134856150348,"""Matthew Meow"""
"65","""P. troglodytes""",4.43657800777782,40.4494767780121,625.31526950202,"""Matthew Meow"""
"66","""V. pacos""",4.344814998608,35.7585909785975,530.167201712732,"""Matthew Meow"""
"67","""A. carolinensis""",4.74296670013524,17.6778435127686,312.334039120808,"""Matthew Meow"""
"68","""D. novemcinctus""",1.70818765644108,28.4797776888589,65.2675987354685,"""Lu Xixi"""
"69","""O. garnettii""",4.60521695797754,27.8045671921269,463.133515881019,"""Lu Xixi"""
"70","""P. troglodytes""",4.89911112037801,23.226843603656,437.839215781972,"""Lu Xixi"""
"71","""V. pacos""",3.2466551200064,22.8124647836558,188.857574587363,"""Lu Xixi"""
"72","""A. carolinensis""",5.52001784748968,44.1294906175478,1056.08715311903,"""Lu Xixi"""
"73","""D. novemcinctus""",5.12441886973139,32.156392477571,663.20294419596,"""Lu Xixi"""
"74","""O. garnettii""",4.66285646520824,49.7745441677108,849.965438614889,"""Lu Xixi"""
"75","""P. troglodytes""",4.34470034299082,22.3214146801527,330.92627709491,"""Lu Xixi"""
"76","""V. pacos""",3.33136839692056,22.3963255051031,195.214456146338,"""Lu Xixi"""
"77","""A. carolinensis""",4.7443182110907,55.5110421744702,981.334083637246,"""Lu Xixi"""
"78","""D. novemcinctus""",5.4018931192714,29.6456499148901,679.427046587531,"""Lu Xixi"""
"79","""O. garnettii""",4.98090365449921,32.1840427776953,627.114381820147,"""Lu Xixi"""
"80","""P. troglodytes""",3.21920602473996,19.6817290450947,160.195633297465,"""Lu Xixi"""
"81","""V. pacos""",4.7028769086986,22.9205954692696,398.146590753926,"""Lu Xixi"""
"82","""A. carolinensis""",2.84642011796987,54.0170510164986,343.731040501573,"""Lu Xixi"""
"83","""D. novemcinctus""",5.43520757266772,24.8817259455877,577.301456128548,"""Lu Xixi"""
"84","""O. garnettii""",4.8910512369212,48.9789438254553,920.245541302109,"""Lu Xixi"""
"85","""P. troglodytes""",4.82983258386778,34.7010540922381,635.765127783807,"""Lu Xixi"""
"86","""V. pacos""",2.20680038690403,37.2360171143964,142.422696965947,"""Lu Xixi"""
"87","""A. carolinensis""",5.04267535365001,26.9918846231857,539.069932185772,"""Lu Xixi"""
"88","""D. novemcinctus""",4.21324901097611,31.0997695147783,433.592046082771,"""Lu Xixi"""
"89","""O. garnettii""",5.10380212366346,24.1969051185102,495.036657252073,"""Lu Xixi"""
"90","""P. troglodytes""",4.7509565335672,49.5636624246597,878.64893283101,"""Lu Xixi"""
"91","""V. pacos""",3.50501468402445,47.5930210454715,459.211587313041,"""Lu Xixi"""
"92","""A. carolinensis""",5.15380633354042,31.7485709057211,662.323633844822,"""Lu Xixi"""
"93","""D. novemcinctus""",4.00651412552845,44.6824196220846,563.326161277429,"""Lu Xixi"""
"94","""O. garnettii""",2.26042755985076,15.5187645448209,62.2770758738226,"""Lu Xixi"""
"95","""P. troglodytes""",3.46417210859744,26.8665863117638,253.22191622224,"""Lu Xixi"""
"96","""V. pacos""",3.47505451391755,26.3994655456565,250.384972362475,"""Lu Xixi"""
"97","""A. carolinensis""",4.42308584508516,12.9303166051201,198.677998913337,"""Lu Xixi"""
"98","""D. novemcinctus""",2.17825617324778,34.6146372434492,128.993424653603,"""Lu Xixi"""
"99","""O. garnettii""",4.7170821585815,25.4900301592134,445.458357846736,"""Lu Xixi"""
"100","""P. troglodytes""",2.44429561416444,45.788932507435,214.861130855903,"""Lu Xixi"""
